rank,asset,market_id,market_slug,token_id,horizon_hours,feature_name,segment_type,segment_value,final_grade,retained_after_dedup,rejection_reasons,sample_count,test_samples,unique_flow_hours,active_wallet_coverage,non_zero_net_flow_coverage,test_improvement_over_baseline,net_test_improvement_after_cost,test_win_rate,stability
4464,BTC,2046596,will-bitcoin-dip-to-70000-in-april-118-383,61164236914146986359828847254786299084067796723356602631369559857342576477833,1,flow_momentum_24h,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,50,20,16,1.0,1.0,-0.0005031341612070097,-0.00450313416120701,0.5,0.007968794784836154
4465,BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,4,net_flow_usdc,flow_direction,sell_dominant,REJECTED,False,copy_flow_too_thin;duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,113,46,31,1.0,1.0,-0.0005038079723028344,-0.004503807972302834,0.43478260869565216,0.04228994158730344
4466,BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,4,abs_net_flow_usdc,flow_direction,sell_dominant,REJECTED,False,copy_flow_too_thin;duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,113,46,31,1.0,1.0,-0.0005038079723028344,-0.004503807972302834,0.43478260869565216,0.04228994158730344
4467,BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,4,sell_volume_usdc,flow_direction,sell_dominant,REJECTED,False,copy_flow_too_thin;duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,113,46,31,1.0,1.0,-0.0005038079723028344,-0.004503807972302834,0.43478260869565216,0.042248613455576775
4468,BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,4,unique_active_wallets,flow_direction,sell_dominant,REJECTED,False,copy_flow_too_thin;duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,113,46,31,1.0,1.0,-0.0005038079723028344,-0.004503807972302834,0.43478260869565216,0.0
4469,ETH,701552,will-ethereum-dip-to-1500-by-december-31-2026,101639751789549589765350117072740510018809594718571111931328241076831078702528,4,flow_momentum_24h,flow_direction,buy_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,145,58,8,1.0,1.0,-0.000504495670662401,-0.004504495670662401,0.5172413793103449,0.010689243507027824
4470,BTC,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,4,flow_momentum_24h,all,all,REJECTED,True,improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,163,66,8,1.0,1.0,-0.0005057139544355606,-0.004505713954435561,0.4696969696969697,0.3035016643573744
4471,BTC,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,4,flow_momentum_24h,active_wallet_bucket,high,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,163,66,8,1.0,1.0,-0.0005057139544355606,-0.004505713954435561,0.4696969696969697,0.3035016643573744
4472,BTC,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,4,flow_momentum_24h,whale_flow_bucket,normal,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,163,66,8,1.0,1.0,-0.0005057139544355606,-0.004505713954435561,0.4696969696969697,0.3035016643573744
4473,BTC,2054828,will-bitcoin-reach-82500-in-april,94423609542225753670941582315634376847502597669978386106469977359775855278346,1,sell_volume_usdc,all,all,REJECTED,True,copy_flow_too_thin;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,57,23,28,1.0,1.0,-0.0005060302871807241,-0.004506030287180724,0.5652173913043478,0.00038319261385687015
